Name,Count
Mountain,11
Niblis of Dusk,1
Pieces of the Puzzle,1
Pore Over the Pages,1
Rise from the Tides,1
Geistblast,2
Pyre Hound,1
Reduce to Ashes,1
Sanguinary Mage,1
Highland Lake,2
Island,11
Contingency Plan,1
Convolute,1
Drag Under,1
Ingenious Skaab,2
Niblis of Frost,1
Spontaneous Mutation,1
Take Inventory,3
Turn Aside,1
Bedlam Reveler,1
Galvanic Bombardment,3
Incendiary Flow,2
Shreds of Sanity,2
Thermo-Alchemist,2
Weaver of Lightning,2
Mercurial Geists,3
Hanweir Battlements,1
